#{"t_start": 1731203105.9239593, "env_id": "LunarLander-v2"}
r,l,t
197.938546,265,928.884367
41.786743,149,929.302643
228.992178,277,930.129002
-65.734012,1000,933.296903
259.061017,362,934.406111
287.507152,306,935.284852
100.197162,886,938.123923
188.591393,329,939.173765
242.925671,483,940.731028
143.542285,723,943.717767
202.31476,654,945.718408
-27.1105,134,946.068372
270.645123,314,946.948791
216.017004,378,948.05024
202.004055,252,948.772304
260.081911,439,950.063634
252.451182,279,950.840553
291.440643,309,951.682312
195.95916,427,952.886743
291.508749,278,954.537403
167.454553,1000,955.318111
245.152454,333,955.53893
74.73031,180,955.64183
-136.902186,1000,956.895361
6.020254,233,957.556541
223.746528,467,959.056421
32.580127,241,959.788324
227.910916,278,960.679851
267.069332,317,961.665518
-80.939338,1000,965.082959
246.003097,297,965.940523
236.492359,352,966.948972
265.655814,292,967.787658
-82.99051,1000,971.058033
170.004903,1000,974.309928
285.317012,356,975.337609
-90.908215,1000,978.654305
108.678454,1000,981.917066
-132.583539,813,984.38079
245.139447,548,986.105266
-72.620427,1000,989.53116
110.254911,1000,990.241021
-53.621074,1000,991.34384
248.503213,236,991.482635
202.053354,299,991.679827
216.110634,364,992.767982
250.452602,637,994.766415
245.307809,313,995.648367
244.841867,248,996.327986
-70.93617,1000,1000.142566
249.843515,520,1001.710516
178.436602,958,1005.077437
-31.686478,163,1005.534411
-80.678677,618,1007.386127
269.746551,227,1008.040737
124.441984,795,1010.605747
253.251941,318,1011.548448
237.287717,260,1012.262533
260.34057,306,1013.074987
-91.979544,500,1014.51995
276.286893,249,1015.232741
5.128087,180,1015.734371
257.633473,284,1016.549945
185.430547,293,1017.409292
236.120467,271,1018.160694
247.673153,234,1018.79375
229.90626,307,1019.654647
186.377487,413,1020.91511
268.952623,277,1021.725051
276.707507,253,1022.476738
244.851915,249,1022.669527
238.717007,243,1022.842241
95.486345,754,1023.398803
282.846826,272,1023.562632
226.973322,431,1023.921461
290.139965,273,1024.704025
211.940018,347,1025.735026
-51.969525,317,1026.668294
216.324942,399,1027.902735
-20.395751,1000,1030.900941
-68.736339,520,1032.587928
-64.531173,339,1033.530164
171.337184,932,1036.546381
-111.169238,492,1038.041193
289.852163,248,1038.726151
91.402798,1000,1042.006549
238.038048,456,1043.497532
259.645334,423,1044.878909
223.662342,489,1046.341512
273.173806,287,1047.19468
303.226329,243,1047.873145
174.060334,507,1049.491776
270.938859,229,1050.169184
278.302444,219,1050.83108
246.729181,232,1051.51596
205.684458,649,1053.528933
250.505692,299,1054.373982
231.941001,242,1054.785947
212.729524,880,1055.817836
155.347581,812,1056.529004
-88.756245,1000,1057.580222
-43.976665,211,1057.702647
273.14291,309,1058.592773
239.884582,253,1059.30313
178.178165,517,1060.883172
-67.560538,160,1061.324203
140.698192,718,1063.696299
269.002227,249,1064.397628
219.966443,250,1065.090254
242.136223,237,1065.75315
233.047574,250,1066.444026
234.124537,220,1067.039227
